ID,Name,Type 1,Type 2,Generation
100,Voltorb,Electric,None,1
101,Electrode,Electric,None,1
102,Exeggcute,Grass,Psychic,1
103,Exeggutor,Grass,Psychic,1
104,Cubone,Ground,None,1
105,Marowak,Ground,None,1
106,Hitmonlee,Fighting,None,1
107,Hitmonchan,Fighting,None,1
108,Lickitung,Normal,None,1
109,Koffing,Poison,None,1
110,Weezing,Poison,None,1
111,Rhyhorn,Ground,Rock,1
112,Rhydon,Ground,Rock,1
113,Chansey,Normal,None,1
114,Tangela,Grass,None,1
115,Kangaskhan,Normal,None,1
115,KangaskhanMega Kangaskhan,Normal,None,1
116,Horsea,Water,None,1
117,Seadra,Water,None,1
118,Goldeen,Water,None,1
119,Seaking,Water,None,1
120,Staryu,Water,None,1
121,Starmie,Water,Psychic,1
122,Mr. Mime,Psychic,Fairy,1
123,Scyther,Bug,Flying,1
124,Jynx,Ice,Psychic,1
125,Electabuzz,Electric,None,1
126,Magmar,Fire,None,1
127,Pinsir,Bug,None,1
127,PinsirMega Pinsir,Bug,Flying,1
128,Tauros,Normal,None,1
129,Magikarp,Water,None,1
130,Gyarados,Water,Flying,1
130,GyaradosMega Gyarados,Water,Dark,1
131,Lapras,Water,Ice,1
132,Ditto,Normal,None,1
133,Eevee,Normal,None,1
134,Vaporeon,Water,None,1
135,Jolteon,Electric,None,1
136,Flareon,Fire,None,1
137,Porygon,Normal,None,1
138,Omanyte,Rock,Water,1
139,Omastar,Rock,Water,1
140,Kabuto,Rock,Water,1
141,Kabutops,Rock,Water,1
142,Aerodactyl,Rock,Flying,1
142,AerodactylMega Aerodactyl,Rock,Flying,1
143,Snorlax,Normal,None,1
144,Articuno,Ice,Flying,1
145,Zapdos,Electric,Flying,1
146,Moltres,Fire,Flying,1
147,Dratini,Dragon,None,1
148,Dragonair,Dragon,None,1
149,Dragonite,Dragon,Flying,1
150,Mewtwo,Psychic,None,1
150,MewtwoMega Mewtwo X,Psychic,Fighting,1
150,MewtwoMega Mewtwo Y,Psychic,None,1
151,Mew,Psychic,None,1
152,Chikorita,Grass,None,2
153,Bayleef,Grass,None,2
154,Meganium,Grass,None,2
155,Cyndaquil,Fire,None,2
156,Quilava,Fire,None,2
157,Typhlosion,Fire,None,2
158,Totodile,Water,None,2
159,Croconaw,Water,None,2
160,Feraligatr,Water,None,2
161,Sentret,Normal,None,2
162,Furret,Normal,None,2
163,Hoothoot,Normal,Flying,2
164,Noctowl,Normal,Flying,2
165,Ledyba,Bug,Flying,2
166,Ledian,Bug,Flying,2
167,Spinarak,Bug,Poison,2
168,Ariados,Bug,Poison,2
169,Crobat,Poison,Flying,2
170,Chinchou,Water,Electric,2
171,Lanturn,Water,Electric,2
172,Pichu,Electric,None,2
173,Cleffa,Fairy,None,2
174,Igglybuff,Normal,Fairy,2
175,Togepi,Fairy,None,2
176,Togetic,Fairy,Flying,2
177,Natu,Psychic,Flying,2
178,Xatu,Psychic,Flying,2
179,Mareep,Electric,None,2
180,Flaaffy,Electric,None,2
181,Ampharos,Electric,None,2
181,AmpharosMega Ampharos,Electric,Dragon,2
182,Bellossom,Grass,None,2
183,Marill,Water,Fairy,2
184,Azumarill,Water,Fairy,2
185,Sudowoodo,Rock,None,2
186,Politoed,Water,None,2
187,Hoppip,Grass,Flying,2
188,Skiploom,Grass,Flying,2
189,Jumpluff,Grass,Flying,2
190,Aipom,Normal,None,2
191,Sunkern,Grass,None,2
192,Sunflora,Grass,None,2
193,Yanma,Bug,Flying,2
194,Wooper,Water,Ground,2
195,Quagsire,Water,Ground,2
196,Espeon,Psychic,None,2
197,Umbreon,Dark,None,2
198,Murkrow,Dark,Flying,2
199,Slowking,Water,Psychic,2
200,Misdreavus,Ghost,None,2
201,Unown,Psychic,None,2
202,Wobbuffet,Psychic,None,2
203,Girafarig,Normal,Psychic,2
204,Pineco,Bug,None,2
205,Forretress,Bug,Steel,2
206,Dunsparce,Normal,None,2
207,Gligar,Ground,Flying,2
208,Steelix,Steel,Ground,2
208,SteelixMega Steelix,Steel,Ground,2
209,Snubbull,Fairy,None,2
210,Granbull,Fairy,None,2
211,Qwilfish,Water,Poison,2
212,Scizor,Bug,Steel,2
212,ScizorMega Scizor,Bug,Steel,2
213,Shuckle,Bug,Rock,2
214,Heracross,Bug,Fighting,2
214,HeracrossMega Heracross,Bug,Fighting,2
215,Sneasel,Dark,Ice,2
216,Teddiursa,Normal,None,2
217,Ursaring,Normal,None,2
218,Slugma,Fire,None,2
219,Magcargo,Fire,Rock,2
220,Swinub,Ice,Ground,2
221,Piloswine,Ice,Ground,2
222,Corsola,Water,Rock,2
223,Remoraid,Water,None,2
224,Octillery,Water,None,2
225,Delibird,Ice,Flying,2
226,Mantine,Water,Flying,2
227,Skarmory,Steel,Flying,2
228,Houndour,Dark,Fire,2
229,Houndoom,Dark,Fire,2
229,HoundoomMega Houndoom,Dark,Fire,2
230,Kingdra,Water,Dragon,2
231,Phanpy,Ground,None,2
232,Donphan,Ground,None,2
233,Porygon2,Normal,None,2
234,Stantler,Normal,None,2
235,Smeargle,Normal,None,2
236,Tyrogue,Fighting,None,2
237,Hitmontop,Fighting,None,2
238,Smoochum,Ice,Psychic,2
239,Elekid,Electric,None,2
240,Magby,Fire,None,2
241,Miltank,Normal,None,2
242,Blissey,Normal,None,2
243,Raikou,Electric,None,2
244,Entei,Fire,None,2
245,Suicune,Water,None,2
246,Larvitar,Rock,Ground,2
247,Pupitar,Rock,Ground,2
248,Tyranitar,Rock,Dark,2
248,TyranitarMega Tyranitar,Rock,Dark,2
249,Lugia,Psychic,Flying,2
250,Ho-oh,Fire,Flying,2
251,Celebi,Psychic,Grass,2
252,Treecko,Grass,None,3
253,Grovyle,Grass,None,3
254,Sceptile,Grass,None,3
254,SceptileMega Sceptile,Grass,Dragon,3
255,Torchic,Fire,None,3
256,Combusken,Fire,Fighting,3
257,Blaziken,Fire,Fighting,3
257,BlazikenMega Blaziken,Fire,Fighting,3
258,Mudkip,Water,None,3
259,Marshtomp,Water,Ground,3
260,Swampert,Water,Ground,3
260,SwampertMega Swampert,Water,Ground,3
261,Poochyena,Dark,None,3
262,Mightyena,Dark,None,3
263,Zigzagoon,Normal,None,3
264,Linoone,Normal,None,3
265,Wurmple,Bug,None,3
266,Silcoon,Bug,None,3
267,Beautifly,Bug,Flying,3
268,Cascoon,Bug,None,3
269,Dustox,Bug,Poison,3
270,Lotad,Water,Grass,3
271,Lombre,Water,Grass,3
272,Ludicolo,Water,Grass,3
273,Seedot,Grass,None,3
274,Nuzleaf,Grass,Dark,3
275,Shiftry,Grass,Dark,3
276,Taillow,Normal,Flying,3
277,Swellow,Normal,Flying,3
278,Wingull,Water,Flying,3
279,Pelipper,Water,Flying,3
280,Ralts,Psychic,Fairy,3
281,Kirlia,Psychic,Fairy,3
282,Gardevoir,Psychic,Fairy,3
282,GardevoirMega Gardevoir,Psychic,Fairy,3
283,Surskit,Bug,Water,3
284,Masquerain,Bug,Flying,3
285,Shroomish,Grass,None,3
286,Breloom,Grass,Fighting,3
287,Slakoth,Normal,None,3
288,Vigoroth,Normal,None,3
289,Slaking,Normal,None,3
290,Nincada,Bug,Ground,3
291,Ninjask,Bug,Flying,3
292,Shedinja,Bug,Ghost,3
293,Whismur,Normal,None,3
294,Loudred,Normal,None,3
295,Exploud,Normal,None,3
296,Makuhita,Fighting,None,3
297,Hariyama,Fighting,None,3
298,Azurill,Normal,Fairy,3
299,Nosepass,Rock,None,3
300,Skitty,Normal,None,3
301,Delcatty,Normal,None,3
302,Sableye,Dark,Ghost,3
302,SableyeMega Sableye,Dark,Ghost,3
303,Mawile,Steel,Fairy,3
303,MawileMega Mawile,Steel,Fairy,3
304,Aron,Steel,Rock,3
305,Lairon,Steel,Rock,3
306,Aggron,Steel,Rock,3
306,AggronMega Aggron,Steel,None,3
307,Meditite,Fighting,Psychic,3
308,Medicham,Fighting,Psychic,3
308,MedichamMega Medicham,Fighting,Psychic,3
309,Electrike,Electric,None,3
310,Manectric,Electric,None,3
310,ManectricMega Manectric,Electric,None,3
311,Plusle,Electric,None,3
312,Minun,Electric,None,3
313,Volbeat,Bug,None,3
314,Illumise,Bug,None,3
315,Roselia,Grass,Poison,3
316,Gulpin,Poison,None,3
317,Swalot,Poison,None,3
318,Carvanha,Water,Dark,3
319,Sharpedo,Water,Dark,3
319,SharpedoMega Sharpedo,Water,Dark,3
320,Wailmer,Water,None,3
321,Wailord,Water,None,3
322,Numel,Fire,Ground,3
323,Camerupt,Fire,Ground,3
323,CameruptMega Camerupt,Fire,Ground,3
324,Torkoal,Fire,None,3
325,Spoink,Psychic,None,3
326,Grumpig,Psychic,None,3
327,Spinda,Normal,None,3
328,Trapinch,Ground,None,3
329,Vibrava,Ground,Dragon,3
330,Flygon,Ground,Dragon,3
331,Cacnea,Grass,None,3
332,Cacturne,Grass,Dark,3
333,Swablu,Normal,Flying,3
334,Altaria,Dragon,Flying,3
334,AltariaMega Altaria,Dragon,Fairy,3
335,Zangoose,Normal,None,3
336,Seviper,Poison,None,3
337,Lunatone,Rock,Psychic,3
338,Solrock,Rock,Psychic,3
339,Barboach,Water,Ground,3
340,Whiscash,Water,Ground,3
341,Corphish,Water,None,3
342,Crawdaunt,Water,Dark,3
343,Baltoy,Ground,Psychic,3
344,Claydol,Ground,Psychic,3
345,Lileep,Rock,Grass,3
346,Cradily,Rock,Grass,3
347,Anorith,Rock,Bug,3
348,Armaldo,Rock,Bug,3
349,Feebas,Water,None,3
350,Milotic,Water,None,3
351,Castform,Normal,None,3
352,Kecleon,Normal,None,3
353,Shuppet,Ghost,None,3
354,Banette,Ghost,None,3
354,BanetteMega Banette,Ghost,None,3
355,Duskull,Ghost,None,3
356,Dusclops,Ghost,None,3
357,Tropius,Grass,Flying,3
358,Chimecho,Psychic,None,3
359,Absol,Dark,None,3
359,AbsolMega Absol,Dark,None,3
360,Wynaut,Psychic,None,3
361,Snorunt,Ice,None,3
362,Glalie,Ice,None,3
362,GlalieMega Glalie,Ice,None,3
363,Spheal,Ice,Water,3
364,Sealeo,Ice,Water,3
365,Walrein,Ice,Water,3
366,Clamperl,Water,None,3
367,Huntail,Water,None,3
368,Gorebyss,Water,None,3
369,Relicanth,Water,Rock,3
370,Luvdisc,Water,None,3
371,Bagon,Dragon,None,3
372,Shelgon,Dragon,None,3
373,Salamence,Dragon,Flying,3
373,SalamenceMega Salamence,Dragon,Flying,3
374,Beldum,Steel,Psychic,3
375,Metang,Steel,Psychic,3
376,Metagross,Steel,Psychic,3
376,MetagrossMega Metagross,Steel,Psychic,3
377,Regirock,Rock,None,3
378,Regice,Ice,None,3
379,Registeel,Steel,None,3
380,Latias,Dragon,Psychic,3
380,LatiasMega Latias,Dragon,Psychic,3
381,Latios,Dragon,Psychic,3
381,LatiosMega Latios,Dragon,Psychic,3
382,Kyogre,Water,None,3
382,KyogrePrimal Kyogre,Water,None,3
383,Groudon,Ground,None,3
383,GroudonPrimal Groudon,Ground,Fire,3
384,Rayquaza,Dragon,Flying,3
384,RayquazaMega Rayquaza,Dragon,Flying,3
385,Jirachi,Steel,Psychic,3
386,DeoxysNormal Forme,Psychic,None,3
386,DeoxysAttack Forme,Psychic,None,3
386,DeoxysDefense Forme,Psychic,None,3
386,DeoxysSpeed Forme,Psychic,None,3
387,Turtwig,Grass,None,4
388,Grotle,Grass,None,4
389,Torterra,Grass,Ground,4
390,Chimchar,Fire,None,4
391,Monferno,Fire,Fighting,4
392,Infernape,Fire,Fighting,4
393,Piplup,Water,None,4
394,Prinplup,Water,None,4
395,Empoleon,Water,Steel,4
396,Starly,Normal,Flying,4
397,Staravia,Normal,Flying,4
398,Staraptor,Normal,Flying,4
399,Bidoof,Normal,None,4
400,Bibarel,Normal,Water,4
401,Kricketot,Bug,None,4
402,Kricketune,Bug,None,4
403,Shinx,Electric,None,4
404,Luxio,Electric,None,4
405,Luxray,Electric,None,4
406,Budew,Grass,Poison,4
407,Roserade,Grass,Poison,4
408,Cranidos,Rock,None,4
409,Rampardos,Rock,None,4
410,Shieldon,Rock,Steel,4
411,Bastiodon,Rock,Steel,4
412,Burmy,Bug,None,4
413,WormadamPlant Cloak,Bug,Grass,4
413,WormadamSandy Cloak,Bug,Ground,4
413,WormadamTrash Cloak,Bug,Steel,4
414,Mothim,Bug,Flying,4
415,Combee,Bug,Flying,4
416,Vespiquen,Bug,Flying,4
417,Pachirisu,Electric,None,4
418,Buizel,Water,None,4
419,Floatzel,Water,None,4
420,Cherubi,Grass,None,4
421,Cherrim,Grass,None,4
422,Shellos,Water,None,4
423,Gastrodon,Water,Ground,4
424,Ambipom,Normal,None,4
425,Drifloon,Ghost,Flying,4
426,Drifblim,Ghost,Flying,4
427,Buneary,Normal,None,4
428,Lopunny,Normal,None,4
428,LopunnyMega Lopunny,Normal,Fighting,4
429,Mismagius,Ghost,None,4
430,Honchkrow,Dark,Flying,4
431,Glameow,Normal,None,4
432,Purugly,Normal,None,4
433,Chingling,Psychic,None,4
434,Stunky,Poison,Dark,4
435,Skuntank,Poison,Dark,4
436,Bronzor,Steel,Psychic,4
437,Bronzong,Steel,Psychic,4
438,Bonsly,Rock,None,4
439,Mime Jr.,Psychic,Fairy,4
440,Happiny,Normal,None,4
441,Chatot,Normal,Flying,4
442,Spiritomb,Ghost,Dark,4
443,Gible,Dragon,Ground,4
444,Gabite,Dragon,Ground,4
445,Garchomp,Dragon,Ground,4
445,GarchompMega Garchomp,Dragon,Ground,4
446,Munchlax,Normal,None,4
447,Riolu,Fighting,None,4
448,Lucario,Fighting,Steel,4
448,LucarioMega Lucario,Fighting,Steel,4
449,Hippopotas,Ground,None,4
450,Hippowdon,Ground,None,4
451,Skorupi,Poison,Bug,4
452,Drapion,Poison,Dark,4
453,Croagunk,Poison,Fighting,4
454,Toxicroak,Poison,Fighting,4
455,Carnivine,Grass,None,4
456,Finneon,Water,None,4
457,Lumineon,Water,None,4
458,Mantyke,Water,Flying,4
459,Snover,Grass,Ice,4
460,Abomasnow,Grass,Ice,4
460,AbomasnowMega Abomasnow,Grass,Ice,4
461,Weavile,Dark,Ice,4
462,Magnezone,Electric,Steel,4
463,Lickilicky,Normal,None,4
464,Rhyperior,Ground,Rock,4
465,Tangrowth,Grass,None,4
466,Electivire,Electric,None,4
467,Magmortar,Fire,None,4
468,Togekiss,Fairy,Flying,4
469,Yanmega,Bug,Flying,4
470,Leafeon,Grass,None,4
471,Glaceon,Ice,None,4
472,Gliscor,Ground,Flying,4
473,Mamoswine,Ice,Ground,4
474,Porygon-Z,Normal,None,4
475,Gallade,Psychic,Fighting,4
475,GalladeMega Gallade,Psychic,Fighting,4
476,Probopass,Rock,Steel,4
477,Dusknoir,Ghost,None,4
478,Froslass,Ice,Ghost,4
479,Rotom,Electric,Ghost,4
479,RotomHeat Rotom,Electric,Fire,4
479,RotomWash Rotom,Electric,Water,4
479,RotomFrost Rotom,Electric,Ice,4
479,RotomFan Rotom,Electric,Flying,4
479,RotomMow Rotom,Electric,Grass,4
480,Uxie,Psychic,None,4
481,Mesprit,Psychic,None,4
482,Azelf,Psychic,None,4
483,Dialga,Steel,Dragon,4
484,Palkia,Water,Dragon,4
485,Heatran,Fire,Steel,4
486,Regigigas,Normal,None,4
487,GiratinaAltered Forme,Ghost,Dragon,4
487,GiratinaOrigin Forme,Ghost,Dragon,4
488,Cresselia,Psychic,None,4
489,Phione,Water,None,4
490,Manaphy,Water,None,4
491,Darkrai,Dark,None,4
492,ShayminLand Forme,Grass,None,4
492,ShayminSky Forme,Grass,Flying,4
493,Arceus,Normal,None,4
494,Victini,Psychic,Fire,5
495,Snivy,Grass,None,5
496,Servine,Grass,None,5
497,Serperior,Grass,None,5
498,Tepig,Fire,None,5
499,Pignite,Fire,Fighting,5
500,Emboar,Fire,Fighting,5
501,Oshawott,Water,None,5
502,Dewott,Water,None,5
503,Samurott,Water,None,5
504,Patrat,Normal,None,5
505,Watchog,Normal,None,5
506,Lillipup,Normal,None,5
507,Herdier,Normal,None,5
508,Stoutland,Normal,None,5
509,Purrloin,Dark,None,5
510,Liepard,Dark,None,5
511,Pansage,Grass,None,5
512,Simisage,Grass,None,5
513,Pansear,Fire,None,5
514,Simisear,Fire,None,5
515,Panpour,Water,None,5
516,Simipour,Water,None,5
517,Munna,Psychic,None,5
518,Musharna,Psychic,None,5
519,Pidove,Normal,Flying,5
520,Tranquill,Normal,Flying,5
521,Unfezant,Normal,Flying,5
522,Blitzle,Electric,None,5
523,Zebstrika,Electric,None,5
524,Roggenrola,Rock,None,5
525,Boldore,Rock,None,5
526,Gigalith,Rock,None,5
527,Woobat,Psychic,Flying,5
528,Swoobat,Psychic,Flying,5
529,Drilbur,Ground,None,5
530,Excadrill,Ground,Steel,5
531,Audino,Normal,None,5
531,AudinoMega Audino,Normal,Fairy,5
532,Timburr,Fighting,None,5
533,Gurdurr,Fighting,None,5
534,Conkeldurr,Fighting,None,5
535,Tympole,Water,None,5
536,Palpitoad,Water,Ground,5
537,Seismitoad,Water,Ground,5
538,Throh,Fighting,None,5
539,Sawk,Fighting,None,5
540,Sewaddle,Bug,Grass,5
541,Swadloon,Bug,Grass,5
542,Leavanny,Bug,Grass,5
543,Venipede,Bug,Poison,5
544,Whirlipede,Bug,Poison,5
545,Scolipede,Bug,Poison,5
546,Cottonee,Grass,Fairy,5
547,Whimsicott,Grass,Fairy,5
548,Petilil,Grass,None,5
549,Lilligant,Grass,None,5
550,Basculin,Water,None,5
551,Sandile,Ground,Dark,5
552,Krokorok,Ground,Dark,5
553,Krookodile,Ground,Dark,5
554,Darumaka,Fire,None,5
555,DarmanitanStandard Mode,Fire,None,5
555,DarmanitanZen Mode,Fire,Psychic,5
556,Maractus,Grass,None,5
557,Dwebble,Bug,Rock,5
558,Crustle,Bug,Rock,5
559,Scraggy,Dark,Fighting,5
560,Scrafty,Dark,Fighting,5
561,Sigilyph,Psychic,Flying,5
562,Yamask,Ghost,None,5
563,Cofagrigus,Ghost,None,5
564,Tirtouga,Water,Rock,5
565,Carracosta,Water,Rock,5
566,Archen,Rock,Flying,5
567,Archeops,Rock,Flying,5
568,Trubbish,Poison,None,5
569,Garbodor,Poison,None,5
570,Zorua,Dark,None,5
571,Zoroark,Dark,None,5
572,Minccino,Normal,None,5
573,Cinccino,Normal,None,5
574,Gothita,Psychic,None,5
575,Gothorita,Psychic,None,5
576,Gothitelle,Psychic,None,5
577,Solosis,Psychic,None,5
578,Duosion,Psychic,None,5
579,Reuniclus,Psychic,None,5
580,Ducklett,Water,Flying,5
581,Swanna,Water,Flying,5
582,Vanillite,Ice,None,5
583,Vanillish,Ice,None,5
584,Vanilluxe,Ice,None,5
585,Deerling,Normal,Grass,5
586,Sawsbuck,Normal,Grass,5
587,Emolga,Electric,Flying,5
588,Karrablast,Bug,None,5
589,Escavalier,Bug,Steel,5
590,Foongus,Grass,Poison,5
591,Amoonguss,Grass,Poison,5
592,Frillish,Water,Ghost,5
593,Jellicent,Water,Ghost,5
594,Alomomola,Water,None,5
595,Joltik,Bug,Electric,5
596,Galvantula,Bug,Electric,5
597,Ferroseed,Grass,Steel,5
598,Ferrothorn,Grass,Steel,5
599,Klink,Steel,None,5
600,Klang,Steel,None,5
601,Klinklang,Steel,None,5
602,Tynamo,Electric,None,5
603,Eelektrik,Electric,None,5
604,Eelektross,Electric,None,5
605,Elgyem,Psychic,None,5
606,Beheeyem,Psychic,None,5
607,Litwick,Ghost,Fire,5
608,Lampent,Ghost,Fire,5
609,Chandelure,Ghost,Fire,5
610,Axew,Dragon,None,5
611,Fraxure,Dragon,None,5
612,Haxorus,Dragon,None,5
613,Cubchoo,Ice,None,5
614,Beartic,Ice,None,5
615,Cryogonal,Ice,None,5
616,Shelmet,Bug,None,5
617,Accelgor,Bug,None,5
618,Stunfisk,Ground,Electric,5
619,Mienfoo,Fighting,None,5
620,Mienshao,Fighting,None,5
621,Druddigon,Dragon,None,5
622,Golett,Ground,Ghost,5
623,Golurk,Ground,Ghost,5
624,Pawniard,Dark,Steel,5
625,Bisharp,Dark,Steel,5
626,Bouffalant,Normal,None,5
627,Rufflet,Normal,Flying,5
628,Braviary,Normal,Flying,5
629,Vullaby,Dark,Flying,5
630,Mandibuzz,Dark,Flying,5
631,Heatmor,Fire,None,5
632,Durant,Bug,Steel,5
633,Deino,Dark,Dragon,5
634,Zweilous,Dark,Dragon,5
635,Hydreigon,Dark,Dragon,5
636,Larvesta,Bug,Fire,5
637,Volcarona,Bug,Fire,5
638,Cobalion,Steel,Fighting,5
639,Terrakion,Rock,Fighting,5
640,Virizion,Grass,Fighting,5
641,TornadusIncarnate Forme,Flying,None,5
641,TornadusTherian Forme,Flying,None,5
642,ThundurusIncarnate Forme,Electric,Flying,5
642,ThundurusTherian Forme,Electric,Flying,5
643,Reshiram,Dragon,Fire,5
644,Zekrom,Dragon,Electric,5
645,LandorusIncarnate Forme,Ground,Flying,5
645,LandorusTherian Forme,Ground,Flying,5
646,Kyurem,Dragon,Ice,5
646,KyuremBlack Kyurem,Dragon,Ice,5
646,KyuremWhite Kyurem,Dragon,Ice,5
647,KeldeoOrdinary Forme,Water,Fighting,5
647,KeldeoResolute Forme,Water,Fighting,5
648,MeloettaAria Forme,Normal,Psychic,5
648,MeloettaPirouette Forme,Normal,Fighting,5
649,Genesect,Bug,Steel,5
650,Chespin,Grass,None,6
651,Quilladin,Grass,None,6
652,Chesnaught,Grass,Fighting,6
653,Fennekin,Fire,None,6
654,Braixen,Fire,None,6
655,Delphox,Fire,Psychic,6
656,Froakie,Water,None,6
657,Frogadier,Water,None,6
658,Greninja,Water,Dark,6
659,Bunnelby,Normal,None,6
660,Diggersby,Normal,Ground,6
661,Fletchling,Normal,Flying,6
662,Fletchinder,Fire,Flying,6
663,Talonflame,Fire,Flying,6
664,Scatterbug,Bug,None,6
665,Spewpa,Bug,None,6
666,Vivillon,Bug,Flying,6
667,Litleo,Fire,Normal,6
668,Pyroar,Fire,Normal,6
669,Flabébé,Fairy,None,6
670,Floette,Fairy,None,6
671,Florges,Fairy,None,6
672,Skiddo,Grass,None,6
673,Gogoat,Grass,None,6
674,Pancham,Fighting,None,6
675,Pangoro,Fighting,Dark,6
676,Furfrou,Normal,None,6
677,Espurr,Psychic,None,6
678,MeowsticMale,Psychic,None,6
678,MeowsticFemale,Psychic,None,6
679,Honedge,Steel,Ghost,6
680,Doublade,Steel,Ghost,6
681,AegislashBlade Forme,Steel,Ghost,6
681,AegislashShield Forme,Steel,Ghost,6
682,Spritzee,Fairy,None,6
683,Aromatisse,Fairy,None,6
684,Swirlix,Fairy,None,6
685,Slurpuff,Fairy,None,6
686,Inkay,Dark,Psychic,6
687,Malamar,Dark,Psychic,6
688,Binacle,Rock,Water,6
689,Barbaracle,Rock,Water,6
690,Skrelp,Poison,Water,6
691,Dragalge,Poison,Dragon,6
692,Clauncher,Water,None,6
693,Clawitzer,Water,None,6
694,Helioptile,Electric,Normal,6
695,Heliolisk,Electric,Normal,6
696,Tyrunt,Rock,Dragon,6
697,Tyrantrum,Rock,Dragon,6
698,Amaura,Rock,Ice,6
699,Aurorus,Rock,Ice,6
700,Sylveon,Fairy,None,6
701,Hawlucha,Fighting,Flying,6
702,Dedenne,Electric,Fairy,6
703,Carbink,Rock,Fairy,6
704,Goomy,Dragon,None,6
705,Sliggoo,Dragon,None,6
706,Goodra,Dragon,None,6
707,Klefki,Steel,Fairy,6
708,Phantump,Ghost,Grass,6
709,Trevenant,Ghost,Grass,6
710,PumpkabooAverage Size,Ghost,Grass,6
710,PumpkabooSmall Size,Ghost,Grass,6
710,PumpkabooLarge Size,Ghost,Grass,6
710,PumpkabooSuper Size,Ghost,Grass,6
711,GourgeistAverage Size,Ghost,Grass,6
711,GourgeistSmall Size,Ghost,Grass,6
711,GourgeistLarge Size,Ghost,Grass,6
711,GourgeistSuper Size,Ghost,Grass,6
712,Bergmite,Ice,None,6
713,Avalugg,Ice,None,6
714,Noibat,Flying,Dragon,6
715,Noivern,Flying,Dragon,6
